Port-Name;Port-Number;Protocol
FTP-DATA;20;TCP
FTP;21;TCP
SSH;22;TCP
TELNET;23;TCP
SMTP;25;TCP
TIME;37;TCP/UDP
WINS;42;TCP/UDP
WHOIS;43;TCP
TACACS / TACACS+;49;TCP/UDP
DNS;53;TCP/UDP
DHCP (Server);67;UDP
DHCP (Client);68;UDP
TFTP;69;UDP
GOPHER;70;TCP
FINGER;79;TCP
HTTP;80;TCP
KERBEROS;88;TCP/UDP
ISO-TSAP;102;TCP
RTELNET;107;TCP
POP2;109;TCP
POP3;110;TCP
RPCBIND/SUNRPC;111;TCP/UDP
IDENT;113;TCP
NNTP;119;TCP
NTP;123;UDP
MS-RPC / RPC Endpoint Mapper;135;TCP/UDP
NETBIOS-NS;137;TCP/UDP
NETBIOS-DGM;138;TCP/UDP
NETBIOS-SSN;139;TCP/UDP
IMAP;143;TCP
SNMP;161;UDP
SNMP-TRAP;162;UDP
XDMCP;177;TCP/UDP
BGP;179;TCP
IRC;194;TCP
PTP (Event);319;UDP
PTP (General);320;UDP
LDAP;389;TCP/UDP
SLP;427;TCP/UDP
HTTPS;443;TCP
SNPP;444;TCP
SMB / MICROSOFT-DS;445;TCP
KPASSWD / Kerberos Password Change;464;TCP/UDP
SMTPS;465;TCP
ISAKMP/IKE;500;UDP
EXEC;512;TCP
LOGIN;513;TCP
SHELL;514;TCP
SYSLOG;514;UDP
LPD/LPR;515;TCP
RIP;520;UDP
RIPng;521;UDP
UUCP;540;TCP
DHCPv6-Client;546;UDP
DHCPv6-Server;547;UDP
RTSP;554;TCP/UDP
RMONITOR;560;UDP
SMTP-SUBMISSION;587;TCP
FILEMAKER/HTTP-ALT;591;TCP
HTTP-RPC-EPMAP;593;TCP
CUPS (Printing);631;TCP/UDP
LDAPS;636;TCP
NETCONF-SSH;830;TCP
RSYNC;873;TCP
VMware-Auth;902;TCP
VMware-Console;903;TCP
SOCKS Proxy;1080;TCP/UDP
OpenVPN;1194;TCP/UDP
MS-SQL-Server;1433;TCP
MS-SQL-Monitor;1434;UDP
Oracle-DB (TNS Listener);1521;TCP
L2TP;1701;UDP
H.323-RAS;1719;UDP
H.323-Q931;1720;TCP
PPTP;1723;TCP
RADIUS-Auth;1812;UDP
RADIUS-Acct;1813;UDP
Oracle-Mgmt;1830;TCP
MQTT;1883;TCP
UPnP;1900;UDP
Nutanix Stargate (AOS Internal);2009;TCP
Nutanix Zeus / Cluster Config (AOS Internal);2020;TCP
NFS;2049;TCP/UDP
NetFlow;2055;UDP
Nutanix NGT (Guest Tools);2074;TCP
Zookeeper;2181;TCP
Docker (unencrypted);2375;TCP
Docker (TLS);2376;TCP
etcd-client;2379;TCP
etcd-peer;2380;TCP
MGCP-Gateway;2427;UDP
Oracle-DB (unencrypted);2483;TCP
Oracle-DB (TLS);2484;TCP
MGCP-CallAgent;2727;UDP
Grafana / Node.js;3000;TCP
Loki;3100;TCP
Squid Proxy;3128;TCP
Tempo;3200;TCP
iSCSI;3260;TCP
LDAP-GC;3268;TCP
LDAPS-GC;3269;TCP
Apple Remote Desktop (ARD);3283;TCP/UDP
MySQL/MariaDB;3306;TCP
RDP;3389;TCP
STUN/TURN;3478;TCP/UDP
RADIUS-CoA;3799;UDP
